beta0,beta1,beta2,beta3,sigma,chain
20.321686,-7.2364984,18.270117,-12.943945,143.21526,chain_0
21.860453,-8.310279,20.791155,-11.44402,162.50237,chain_0
13.611695,-18.651373,39.868786,-21.333906,128.59985,chain_0
13.452352,-23.17874,47.427963,-25.931063,181.54434,chain_0
18.529602,19.82118,-9.578377,-9.769473,108.46992,chain_0
17.714264,28.363249,-22.13067,-2.0402906,144.9872,chain_0
15.205094,21.283895,-11.667709,-5.5873127,144.80438,chain_0
20.507328,7.5187006,25.807499,-37.47688,146.48853,chain_0
19.539831,12.810676,9.472803,-25.38293,127.8099,chain_0
15.89112,-17.08629,27.786087,-13.92463,131.18942,chain_0
17.329763,-17.455359,22.950045,-8.143146,105.67778,chain_0
20.801163,-12.875416,25.201227,-14.001268,144.23676,chain_0
15.31231,-4.4017787,0.9695902,4.5067983,148.36758,chain_0
15.54419,-3.6352,-3.5452104,5.565379,91.00438,chain_0
19.677925,-2.4221609,-3.2176447,6.298892,262.22287,chain_0
16.432423,-14.500778,15.594244,0.2940551,124.24484,chain_0
19.463736,5.3486543,-4.6877832,0.41257304,92.72365,chain_0
16.103447,5.241337,7.48933,-14.095064,122.196945,chain_0
17.483505,5.946889,8.962159,-13.884798,118.055275,chain_0
17.619272,5.4448447,8.661335,-13.371085,113.267365,chain_0
19.966604,-7.1144037,17.658072,-8.9852915,118.06603,chain_0
15.3018265,-14.193451,20.060587,-9.891974,143.89903,chain_0
20.661549,-16.968115,24.611523,-0.4152931,182.84471,chain_0
17.348969,-27.746555,27.218264,3.6935146,90.20198,chain_0
17.233906,-28.010124,23.26938,0.70412064,119.49274,chain_0
17.7216,-27.54391,30.689362,-0.1951611,140.37338,chain_0
16.480566,-26.182562,30.155338,-2.1869354,112.30352,chain_0
19.214827,-19.9991,7.275057,10.775732,172.62047,chain_0
15.564687,17.948093,-4.7077956,-15.676708,124.06694,chain_0
19.316603,8.95031,2.5882413,-11.674381,88.85554,chain_0
19.187944,25.484715,-18.109892,-6.9470644,86.013725,chain_0
13.916582,26.992075,-5.169864,-23.956884,181.47562,chain_0
13.62702,12.213751,-0.3670169,-9.160024,134.43843,chain_0
13.048414,12.559977,-0.38967645,-9.73984,132.86641,chain_0
13.528964,8.309539,-2.0523257,-8.2272625,129.30304,chain_0
17.97597,12.930357,5.6470127,-19.470726,96.69367,chain_0
13.927658,6.7245502,-17.139204,10.6335945,169.97981,chain_0
20.11194,-0.38656035,4.572485,-2.7410264,72.03266,chain_0
14.879544,4.137599,1.1000055,-5.2383065,105.0921,chain_0
11.796033,-1.3580015,-4.0319433,4.2173467,128.23851,chain_0
22.454927,12.076842,19.003395,-31.730894,107.99115,chain_0
15.575397,-8.162504,-1.1553428,8.821193,156.6735,chain_0
16.429756,-8.810319,1.5640408,7.6316943,86.79633,chain_0
19.107542,4.2103267,15.551649,-20.3194,72.78733,chain_0
18.49323,-0.5403191,12.749571,-11.205411,108.99352,chain_0
17.430971,6.8009233,4.93383,-10.964103,105.51177,chain_0
17.129377,13.191974,2.051179,-11.875981,93.09215,chain_0
18.399868,8.043572,5.0636244,-15.054011,105.4208,chain_0
14.62261,8.906874,-1.4850017,-6.57662,106.05285,chain_0
20.99582,-20.350466,5.8726163,9.728846,189.02647,chain_0
20.559183,-17.487003,8.321657,10.135246,164.80156,chain_0
20.039972,-19.591257,9.297606,10.418942,204.35585,chain_0
20.619965,-16.558697,6.1481295,10.274967,176.29272,chain_0
16.995893,-6.68664,-7.16561,13.87608,96.25981,chain_0
16.712774,-9.280801,7.7713614,3.3846273,292.385,chain_0
20.430582,-11.816204,9.8817835,-0.121233046,101.61881,chain_0
20.782625,-10.826636,10.260976,0.5657065,101.12543,chain_0
14.449209,-14.934043,7.021882,5.090829,162.77037,chain_0
21.317728,4.770913,17.86186,-24.241966,197.00119,chain_0
19.663372,24.120184,-29.685307,8.309767,241.00311,chain_0
16.215002,7.487012,-7.8751345,1.4534763,58.33552,chain_0
20.507828,1.5888629,8.544716,-9.772186,181.64037,chain_0
19.370964,7.064685,-3.7609596,-5.026896,218.08957,chain_0
15.696633,22.426859,-7.270036,-15.316069,79.00903,chain_0
18.067568,19.316172,-6.3400173,-13.519844,175.57202,chain_0
16.548111,14.023576,-13.100272,1.0849988,87.89944,chain_0
19.110437,-16.399822,43.709705,-25.399944,158.69585,chain_0
14.40001,-23.751438,38.75107,-13.052193,124.91034,chain_0
20.7558,18.277796,8.006236,-21.622189,111.79045,chain_0
14.010378,28.522665,-28.546522,-0.8939333,135.3051,chain_0
14.714199,16.72088,-12.38254,-5.3323836,95.49896,chain_0
16.00654,-16.547768,7.3919625,9.083432,228.1751,chain_0
18.929422,-17.06556,6.4947805,10.091547,192.97495,chain_0
16.062166,3.0535398,16.52714,-18.761774,84.12826,chain_0
16.531256,4.2974625,16.382626,-21.470081,82.28448,chain_0
15.526569,5.1374774,16.409077,-20.437004,75.89769,chain_0
18.826658,10.706436,18.05114,-26.018518,184.65411,chain_0
18.47256,9.578362,-0.5247747,-3.6852243,129.55571,chain_0
19.205133,4.1246834,-6.5576143,-2.932171,131.95747,chain_0
18.147192,6.4456334,0.8790455,1.02508,116.17818,chain_0
17.22046,17.258469,-3.6210575,-16.79987,75.59138,chain_0
18.548859,14.638993,3.6474886,-19.812658,106.97019,chain_0
19.715822,3.4306908,9.675694,-11.926289,128.33069,chain_0
15.671952,31.215496,-27.781252,-1.9858155,88.0867,chain_0
16.357916,31.763594,-31.401737,-3.095009,144.09135,chain_0
13.206489,16.613892,0.5819371,-14.206141,136.81624,chain_0
18.261496,0.526544,12.520871,-11.156561,156.47452,chain_0
17.945772,0.33511236,11.753403,-10.534954,132.03867,chain_0
15.442567,15.315716,6.122887,-20.175846,112.43855,chain_0
15.520358,8.785867,-16.536995,8.917328,100.50985,chain_0
18.649775,7.3685036,8.091526,-16.616749,145.33884,chain_0
21.661163,7.528242,-2.1442494,-5.3886347,95.32185,chain_0
19.890118,5.776548,3.0834966,-7.713434,118.26031,chain_0
20.173409,6.388282,3.8328514,-6.294727,117.386,chain_0
18.719198,13.856966,-3.7143178,-13.707826,111.3361,chain_0
18.007442,12.82721,-2.237548,-8.438565,112.79786,chain_0
14.453576,11.271772,6.3971825,-19.143015,144.96176,chain_0
20.40682,4.747613,-2.3146358,-3.1799283,100.99946,chain_0
15.423929,5.1295614,-2.0348468,-6.2933598,84.46297,chain_0
18.411072,-1.217248,1.122745,3.2903576,116.25471,chain_0
19.375206,18.925133,-14.304343,-8.167822,121.600395,chain_0
16.412882,-7.2640424,13.187244,-3.1798697,203.41107,chain_0
17.232069,-3.174719,12.271525,-7.648582,134.06638,chain_0
16.20878,11.143104,-1.5772979,-11.976943,100.982124,chain_0
16.044157,12.781897,-0.15883005,-9.378389,102.036385,chain_0
17.399343,2.242896,-3.0198624,-2.9033878,146.05615,chain_0
21.528225,-7.581832,7.3166842,3.436428,147.36188,chain_0
15.458197,16.794107,22.223158,-35.862793,118.19536,chain_0
23.617193,-4.2440143,29.654814,-31.169128,238.34248,chain_0
24.496853,35.100178,-29.921553,2.118747,210.27853,chain_0
19.294096,26.428255,-18.761879,-1.9963115,156.12401,chain_0
18.741999,26.031319,-19.299955,-3.15621,155.45268,chain_0
14.612048,29.327557,-1.3182836,-24.257921,189.99347,chain_0
14.5616865,27.96767,-7.8084106,-25.856932,205.17838,chain_0
20.77338,21.484325,-28.673588,5.8706665,147.66483,chain_0
17.028303,23.57132,-31.944616,11.683848,129.8127,chain_0
19.57872,21.570145,-22.960703,2.719121,108.46816,chain_0
16.789219,23.774614,18.363428,-40.02571,125.31022,chain_0
18.070665,20.18958,27.326271,-50.411926,202.70396,chain_0
17.433119,18.454378,-3.6412535,-12.914179,77.82514,chain_0
16.651836,12.85338,-1.6899577,-11.514099,85.76181,chain_0
22.586313,20.36888,-34.317287,13.178923,109.73084,chain_0
15.235273,22.144491,-26.555641,6.216768,198.46498,chain_0
19.462229,24.688173,-11.6094265,-16.13437,80.91477,chain_0
15.812116,-8.884468,-9.604257,14.924753,128.57698,chain_0
15.194011,23.855942,7.110696,-31.10022,157.59291,chain_0
14.726376,24.552637,9.340012,-32.927017,144.91704,chain_0
16.57187,32.738438,-54.6944,20.736273,88.69235,chain_0
15.631287,30.394993,-31.478909,0.34811378,204.68822,chain_0
19.980186,36.011467,-32.65193,-1.2164806,146.66934,chain_0
18.58792,33.59565,-27.659382,-1.4584169,139.2806,chain_0
16.981789,33.50031,-18.232054,-19.495474,118.61276,chain_0
17.378265,-1.6646292,6.3493824,-1.9506744,170.01848,chain_0
15.97024,-6.0257463,8.041745,0.6142331,152.95047,chain_0
15.97024,-6.0257463,8.041745,0.6142331,152.95047,chain_0
9.506067,-0.059710026,8.411614,-5.8781357,206.01285,chain_0
9.129374,-1.7720912,2.77336,-1.1993178,164.88432,chain_0
23.351624,-0.17470759,25.647942,-24.06881,117.96918,chain_0
15.233135,-4.0325747,3.1788409,-1.9698875,145.11598,chain_0
14.132585,-1.8309443,5.837254,-2.5330656,202.64462,chain_0
15.941718,5.3451653,0.27194816,-7.4041986,72.3408,chain_0
15.7592125,4.0326815,-0.049179077,-3.208317,59.134693,chain_0
16.399204,4.471484,-1.4578677,0.12014819,122.00702,chain_0
13.024737,3.800948,-0.3890791,-5.8247943,120.60917,chain_0
15.3471985,3.6698778,0.5090309,-5.7509885,76.09127,chain_0
17.095877,1.6657169,-0.28750086,-1.9910533,78.82836,chain_0
18.308722,-22.544827,24.604603,-2.9762878,123.20915,chain_0
19.795607,-21.783772,21.728914,4.698304,138.43117,chain_0
20.248821,-24.003643,19.253584,2.6213388,143.37637,chain_0
16.092005,-21.325554,5.4658732,16.495193,127.60845,chain_0
18.484386,27.973827,-18.81413,-10.286621,83.587685,chain_0
16.306583,24.993074,-3.5412912,-23.430489,169.85342,chain_0
15.695924,14.928101,2.292919,-19.54365,89.96761,chain_0
15.953792,15.365072,-0.9454346,-13.039198,105.39225,chain_0
19.837753,8.577811,15.952772,-23.447813,137.9212,chain_0
17.360405,0.24613884,13.398576,-11.266087,93.024345,chain_0
17.969906,17.830242,-10.287561,-9.923019,112.66321,chain_0
17.64189,15.518011,-12.704878,-3.0243092,89.1241,chain_0
17.22528,15.312532,-12.284413,-2.7700691,91.699814,chain_0
14.788745,11.837675,-16.30731,7.3034377,101.513916,chain_0
19.101877,24.015089,8.19851,-30.341536,133.20396,chain_0
20.295437,3.1398134,-3.9228709,-1.7638651,96.64739,chain_0
13.680573,4.081952,-2.736459,-3.2581406,129.84236,chain_0
16.402092,8.308864,-6.940899,-0.04866749,82.1343,chain_0
17.892881,14.702484,-26.473896,9.602766,150.9315,chain_0
17.021746,38.9047,-18.04937,-18.199059,177.4358,chain_0
16.924686,39.796726,-16.597073,-16.525513,169.94821,chain_0
16.171417,42.926052,-31.063128,-15.665307,202.49548,chain_0
21.821682,15.336606,-6.083238,-9.768032,129.96364,chain_0
19.775146,20.283022,-4.683809,-16.034441,190.0976,chain_0
18.688917,24.601416,-10.700716,-13.701047,74.240166,chain_0
20.49073,26.623682,-12.382397,-14.582185,90.83539,chain_0
14.436042,7.964189,4.0735745,-10.847281,122.48355,chain_0
15.096445,7.4029975,3.3381665,-9.651416,118.35689,chain_0
20.803852,21.690096,16.844723,-39.840763,130.20245,chain_0
16.536585,19.794828,6.8762474,-25.899656,122.19991,chain_0
18.515919,35.73692,-8.405114,-25.054306,117.10155,chain_0
21.049154,35.705074,-16.344097,-18.652992,130.58484,chain_0
13.238491,19.757774,12.017582,-31.535654,157.29224,chain_0
19.930826,10.071821,17.07285,-27.287325,110.350845,chain_0
15.94172,9.277304,15.998276,-22.131538,108.684006,chain_0
15.81806,10.889613,4.9638314,-12.5254,140.69946,chain_0
15.502935,7.683388,4.7697854,-12.224579,144.49669,chain_0
15.007209,4.8213835,0.97863114,-5.923025,153.31653,chain_0
19.742586,16.69475,5.305602,-22.515163,80.93036,chain_0
15.11435,16.186241,7.931342,-27.608902,185.0993,chain_0
13.844608,15.179353,6.483438,-20.414236,94.852486,chain_0
22.168879,10.9300165,-16.420414,3.5334983,146.18102,chain_0
13.346681,5.9911184,-9.440682,3.5741634,98.382774,chain_0
21.608706,18.381573,-12.952684,-5.4961896,96.14445,chain_0
15.801725,17.545206,-14.814791,-2.9372787,90.1444,chain_0
17.928782,-15.108572,0.5971054,13.715888,262.40298,chain_0
23.174675,-13.121641,-2.1920505,16.276354,223.76105,chain_0
15.255437,15.70873,-32.816223,20.770182,212.59892,chain_0
19.519882,6.5923204,23.12354,-28.483913,66.794266,chain_0
17.719425,15.7197075,24.006044,-42.36769,236.66592,chain_0
16.51681,18.733887,2.983705,-21.020836,53.8346,chain_0
20.479872,-0.73477685,27.325218,-29.374386,305.83765,chain_0
18.679457,-1.73613,35.169712,-28.235773,275.61337,chain_0
17.754118,-1.1686826,34.260986,-26.650904,202.5596,chain_0
15.610531,-2.1995363,8.354704,-8.913464,118.66781,chain_0
17.473373,16.222271,-8.774872,-9.746355,95.435005,chain_0
14.677855,22.035774,1.6336927,-20.116566,149.61777,chain_0
18.233704,15.1554785,-1.2091088,-18.361185,225.4442,chain_0
16.794043,13.879953,-4.433352,-11.325895,80.88102,chain_0
18.182592,-1.6382201,28.356907,-24.490223,129.87215,chain_0
15.831496,-2.00047,28.612774,-28.958658,91.225876,chain_0
19.820587,21.812763,-8.404938,-15.158658,184.94191,chain_0
18.90225,16.077877,1.7986519,-15.459342,91.57541,chain_0
16.799505,14.672714,3.4504209,-16.563032,83.22446,chain_0
22.117577,20.923428,7.475704,-28.287212,201.82648,chain_0
14.806046,7.022201,-14.948443,4.938481,81.75181,chain_0
21.330858,8.876038,1.356596,-5.2148385,127.35569,chain_0
20.679302,11.657001,-5.1210504,-6.8592057,87.32251,chain_0
20.48515,16.58715,-7.867895,-5.8179007,153.22363,chain_0
18.826561,16.993189,-9.740773,-9.845703,124.07363,chain_0
19.489197,22.637903,-1.4277484,-21.09953,111.575836,chain_0
15.647342,-15.346058,5.8070927,7.272856,154.00241,chain_0
19.398203,3.9742198,-6.3780446,4.2834573,108.612045,chain_0
16.22423,16.756018,-25.278671,5.33121,121.8365,chain_0
14.691573,5.5958567,-14.391142,5.88772,237.93607,chain_0
13.739666,4.6243186,-7.6120105,3.5050159,200.95032,chain_0
18.35299,-6.7741427,7.441831,0.34593496,65.54816,chain_0
16.48475,4.3614426,22.565866,-26.13831,209.6268,chain_0
18.436323,25.246576,12.591881,-35.375175,97.03394,chain_0
16.021267,24.987123,-0.93891966,-27.149408,144.73708,chain_0
17.336445,-19.089962,4.7436724,8.646666,133.26329,chain_0
18.14999,-16.933418,9.30305,11.662367,128.42447,chain_0
18.05109,-17.60251,10.603817,12.681911,109.79511,chain_0
18.139097,31.321018,-19.57783,-15.485413,135.80267,chain_0
18.7114,27.834074,-12.594325,-10.832462,184.98204,chain_0
16.403276,15.379081,3.8102837,-18.366507,77.042885,chain_0
18.977345,5.769671,0.61023235,-5.0480223,113.99842,chain_0
14.006855,-0.6194189,28.662695,-27.459358,152.26535,chain_0
15.974996,0.5272906,24.803377,-23.370008,113.74122,chain_0
19.645336,9.987901,22.92805,-34.133507,111.878174,chain_0
19.019138,-8.764345,3.7054687,4.426384,78.89417,chain_0
14.065906,-3.0469916,9.538558,-6.126459,169.50293,chain_0
12.5788,4.193075,5.095552,-11.805959,135.68274,chain_0
18.429577,27.432337,-26.50812,-1.2538371,96.54942,chain_0
20.402914,29.471502,-2.4016666,-22.661858,89.164444,chain_0
13.006162,16.763876,-24.870348,3.305156,231.43338,chain_0
14.875309,20.305128,-23.511185,7.143115,318.8537,chain_0
19.115595,12.756188,-27.441853,11.72884,104.645355,chain_0
13.962166,20.14485,-11.639181,-3.3495855,202.39847,chain_0
18.18401,23.772617,-17.505527,-6.266203,91.53507,chain_0
16.338219,1.3049179,-0.7626662,1.6966077,93.54108,chain_0
20.031782,23.312399,-17.307955,-1.3461256,167.83823,chain_0
14.593422,17.67187,-16.235409,-2.3520508,95.01092,chain_0
18.5077,2.7327511,-9.524932,8.459696,127.14053,chain_0
16.90682,2.2479453,-8.083836,8.925311,168.8582,chain_0
19.295609,17.186222,8.340361,-29.040022,82.34347,chain_0
17.497782,16.802193,13.59626,-35.188545,101.88747,chain_0
18.186161,11.780497,16.635319,-33.661556,197.74951,chain_0
17.567183,25.718618,22.075296,-45.657127,121.0646,chain_0
17.681786,21.81654,19.337523,-43.32739,179.07516,chain_0
19.569345,9.936018,2.324845,-13.698558,86.609505,chain_0
18.165312,-1.0686289,-9.982282,10.33472,151.32858,chain_0
18.952305,-1.2616031,-11.590569,14.424377,83.17982,chain_0
16.05834,-3.0150816,27.405231,-21.100677,103.5272,chain_0
21.544527,6.205534,0.9800534,-9.228433,144.6936,chain_0
17.229437,0.8393147,-4.9287877,4.1208963,78.7233,chain_0
16.3936,1.5975854,-6.9404807,4.0071096,81.89696,chain_0
18.548105,24.000612,-30.08179,9.902211,112.93257,chain_0
18.156094,23.338934,-31.209614,8.548696,113.78277,chain_0
18.023006,26.147095,-34.493538,7.134412,120.15288,chain_0
16.150421,19.892078,-15.593322,-5.0681543,126.1679,chain_0
15.097318,-4.3973694,16.145916,-13.864896,172.73953,chain_0
17.511065,-3.9804766,16.973202,-11.896406,141.44574,chain_0
16.254965,-14.6563425,0.6180568,9.694464,113.78906,chain_0
22.311346,-23.238571,10.702136,14.9022255,189.91277,chain_0
15.182212,-20.838434,12.264669,9.719114,205.13484,chain_0
14.331059,-14.374672,12.244259,2.3795424,119.57373,chain_0
22.694597,40.32618,-23.31797,-14.433787,114.32984,chain_0
9.150416,36.909855,-46.861538,12.737454,197.14648,chain_0
7.990634,34.330532,-52.344997,17.651464,245.54446,chain_0
9.0994835,41.032116,-81.915535,39.257343,311.28574,chain_0
18.650896,28.331934,-44.923397,19.70726,145.52892,chain_0
12.397248,23.581268,-47.53621,27.470488,185.68301,chain_0
23.411238,34.590855,-49.971695,9.782528,218.8612,chain_0
11.72937,26.223206,-42.8369,21.703356,143.72958,chain_0
24.909437,33.98852,-37.097862,2.267485,186.4349,chain_0
13.418421,34.687634,-31.042965,-4.525934,229.44016,chain_0
8.985252,29.252117,-30.164312,5.1661587,143.09375,chain_0
9.880242,27.693884,-30.744844,4.20452,153.13693,chain_0
20.536657,9.136974,-1.4697824,-13.515546,183.38634,chain_0
20.934633,11.97859,3.381349,-7.8975563,169.18759,chain_0
14.711907,18.473114,-20.556852,-1.5920172,107.79827,chain_0
11.364071,-14.3062,40.509396,-24.417017,250.97191,chain_0
22.24665,24.422503,10.268867,-29.647236,192.65765,chain_0
17.971222,15.404472,8.943577,-21.559368,195.36636,chain_0
17.96119,16.095078,4.24414,-23.262207,199.37927,chain_0
17.263378,0.2379942,22.571547,-22.031042,65.725426,chain_0
20.91978,-0.2610629,19.48093,-20.814318,150.04,chain_0
15.35941,-15.09249,19.25938,-5.4405417,114.10937,chain_0
18.982454,-2.5198588,-1.4793656,2.7273376,111.410866,chain_0
15.302189,1.6914859,-27.895483,27.775047,129.81172,chain_0
14.480119,51.749577,-13.9228,-34.45862,148.16518,chain_0
19.931782,13.174785,33.549397,-50.10705,164.48924,chain_0
18.98878,14.5062275,-27.376698,10.936788,103.337616,chain_0
15.738508,2.187366,7.5691676,-8.411018,102.35957,chain_0
19.869213,25.262184,-10.12269,-15.496563,94.52139,chain_0
20.97448,22.807447,-12.008823,-9.791927,112.88137,chain_0
16.036173,-19.312737,13.870417,2.0121036,119.191864,chain_0
17.790771,23.126091,7.257019,-26.83691,113.04992,chain_0
16.141905,20.7047,4.0510197,-24.294487,136.96487,chain_0
19.813374,17.109203,-4.6194205,-10.898488,89.76766,chain_0
18.70242,9.073662,-3.4200602,-2.4377794,178.13588,chain_0
19.300215,3.5907507,-2.4872456,0.85709417,122.949684,chain_0
17.43413,5.8597136,-3.9630132,-2.6799138,117.33407,chain_0
17.70815,32.368706,-19.428421,-8.844685,102.47859,chain_0
18.732464,24.372889,-13.442099,-8.783419,131.09656,chain_0
16.279074,16.529276,-30.063107,13.523961,112.67481,chain_0
22.8707,23.907722,-15.917968,-4.296897,115.07763,chain_0
23.096445,24.687328,-17.83786,-6.788741,85.09733,chain_0
15.304793,19.155355,-3.6165738,-11.771521,125.99157,chain_0
17.011286,10.49412,-11.843217,-2.2954428,125.14105,chain_0
18.376472,3.8422399,4.0993834,-8.464476,84.82513,chain_0
18.68359,11.611124,-21.497917,9.910288,97.69572,chain_0
15.66912,-3.5988798,8.046974,-1.9764647,148.85278,chain_0
15.335575,-4.5704684,12.275984,-5.1003885,96.18081,chain_0
20.25291,38.86793,-13.410305,-20.581738,148.4894,chain_0
21.198147,38.580048,-15.09061,-19.97092,183.68205,chain_0
19.201849,34.833588,-28.222134,-3.261332,135.0465,chain_0
18.60111,-0.38574982,13.597313,-16.680885,111.00192,chain_0
19.55303,10.747261,8.189181,-16.70012,120.755394,chain_0
15.770505,7.5066843,-4.3731804,-0.8492491,108.223946,chain_0
15.131911,7.4171133,-7.333994,-3.3110235,114.071724,chain_0
18.223295,30.003222,-4.2343907,-28.992973,113.262726,chain_0
19.167398,22.38795,-1.3128734,-22.231226,110.33048,chain_0
16.519064,11.233019,11.031459,-26.001348,114.152145,chain_0
16.260101,9.758325,-1.4086711,-5.1426206,130.80814,chain_0
17.681078,4.1899395,3.6773348,-5.7392635,105.87636,chain_0
16.697582,1.6977371,2.0819197,-5.5674987,78.94975,chain_0
19.388218,1.8101133,7.5551276,-11.229513,89.939,chain_0
19.231482,3.626266,7.784314,-10.640118,102.26098,chain_0
15.905924,11.245531,7.187893,-19.127554,100.95179,chain_0
17.625124,14.290312,11.128487,-20.847712,196.80487,chain_0
14.262409,19.001564,16.76776,-34.712654,85.5531,chain_0
14.9072275,16.824505,8.117113,-23.790411,128.85803,chain_0
18.719797,17.102451,6.8963547,-26.472263,237.30768,chain_0
21.196438,14.568001,13.351983,-26.529493,127.3942,chain_0
18.35338,-3.3784397,1.2631966,1.4476607,119.422844,chain_0
18.152754,27.29268,-2.3637662,-22.526897,114.90639,chain_0
19.786776,23.614765,-5.7939997,-21.621635,127.91708,chain_0
13.635336,38.139366,-40.438137,4.506586,165.59976,chain_0
21.084606,8.163481,-16.393843,6.540326,129.0628,chain_0
14.04625,3.2909577,-17.90006,16.99812,162.80469,chain_0
13.911001,2.3573127,-17.675497,16.623041,163.15704,chain_0
19.971733,5.777396,12.247214,-15.961557,79.455376,chain_0
15.325578,4.2170877,5.527324,-9.763775,106.36127,chain_0
18.877878,19.503849,-9.30178,-8.321991,95.551575,chain_0
19.391155,53.609787,-27.558662,-24.26895,371.3462,chain_0
19.69517,51.114933,-31.835852,-23.057556,405.35052,chain_0
19.859407,51.10708,-22.128422,-25.040958,272.8186,chain_0
17.474028,57.952194,-35.05026,-17.606031,121.93432,chain_0
16.110888,-29.469639,49.37507,-18.705133,114.16009,chain_0
16.603485,-33.768692,51.820385,-16.955933,169.31325,chain_0
18.223186,-35.08309,55.778584,-15.793339,192.82768,chain_0
10.923444,-16.395832,36.5971,-26.975576,218.23885,chain_0
12.578563,-4.945407,30.02593,-23.435629,221.62962,chain_0
24.56021,-0.4444458,22.844398,-20.920343,88.345695,chain_0
23.71898,-1.7206942,20.545925,-21.328224,95.17792,chain_0
19.126486,24.644392,-38.565186,14.747427,147.49818,chain_0
19.38081,27.893293,-41.65602,13.951017,211.09761,chain_0
19.07158,32.36946,-46.89701,16.81513,136.3487,chain_0
15.724653,-4.9291744,46.821453,-36.572018,234.41772,chain_0
17.482698,14.036456,-23.486744,9.188673,102.11012,chain_0
16.26681,-7.9669538,5.895916,2.4568543,128.88698,chain_0
16.663689,-14.624722,6.1177773,7.3104715,147.27211,chain_0
16.690441,-15.168918,3.5571914,4.4005103,146.90521,chain_0
16.94924,-15.154521,5.3860884,4.5843363,143.19081,chain_0
16.722855,-14.29957,9.049429,8.336597,118.972916,chain_0
14.156456,13.8517065,5.096154,-21.324356,166.69211,chain_0
18.327093,33.77738,-16.12632,-16.91438,104.04481,chain_0
22.096561,26.551998,-10.997598,-14.872289,102.6575,chain_0
16.660473,26.390165,-6.83675,-20.297995,215.36134,chain_0
15.761289,25.90363,-6.1483994,-18.110432,222.9934,chain_0
