alpha,beta,chain
-0.1847429,-0.035021488,chain_0
-0.18669134,-0.049740925,chain_0
-0.18106066,-0.036063083,chain_0
-0.20145068,-0.034304023,chain_0
-0.18392797,-0.036053065,chain_0
-0.18288781,-0.038944162,chain_0
-0.19326755,-0.027183488,chain_0
-0.20483021,-0.037907023,chain_0
-0.19658917,-0.027539955,chain_0
-0.19119069,-0.045521148,chain_0
-0.1868646,-0.05741585,chain_0
-0.17288695,-0.04986735,chain_0
-0.17820244,-0.030151393,chain_0
-0.2020891,-0.049134843,chain_0
-0.19095169,-0.04850233,chain_0
-0.18768449,-0.039111584,chain_0
-0.18420574,-0.035502434,chain_0
-0.1924183,-0.039073627,chain_0
-0.2004728,-0.040227003,chain_0
-0.19853023,-0.03191221,chain_0
-0.18651696,-0.040407155,chain_0
-0.17302342,-0.037559718,chain_0
-0.20541441,-0.03422155,chain_0
-0.19625077,-0.038333457,chain_0
-0.18521582,-0.035721425,chain_0
-0.19556414,-0.03694786,chain_0
-0.19743448,-0.030727766,chain_0
-0.19798726,-0.04258925,chain_0
-0.18863428,-0.039349105,chain_0
-0.1914711,-0.037318926,chain_0
-0.1834463,-0.039860293,chain_0
-0.18930058,-0.03668653,chain_0
-0.18029146,-0.03446963,chain_0
-0.17829733,-0.02902776,chain_0
-0.17741425,-0.029447429,chain_0
-0.17960854,-0.033248972,chain_0
-0.18621434,-0.04298028,chain_0
-0.18988293,-0.040216483,chain_0
-0.18920472,-0.031312503,chain_0
-0.19307919,-0.034768872,chain_0
-0.18421738,-0.03133313,chain_0
-0.196258,-0.045027114,chain_0
-0.19588761,-0.050787546,chain_0
-0.18728226,-0.05330729,chain_0
-0.17216808,-0.026282113,chain_0
-0.17118903,-0.028160142,chain_0
-0.21950829,-0.0375498,chain_0
-0.22135586,-0.03137176,chain_0
-0.19764546,-0.030873585,chain_0
-0.219452,-0.03413883,chain_0
-0.18982197,-0.033175915,chain_0
-0.19541244,-0.044297762,chain_0
-0.20106356,-0.040517513,chain_0
-0.1770735,-0.032390516,chain_0
-0.18244658,-0.045945518,chain_0
-0.18873559,-0.030746367,chain_0
-0.18181005,-0.0366464,chain_0
-0.20076527,-0.036325738,chain_0
-0.20447923,-0.03420014,chain_0
-0.19182445,-0.03222923,chain_0
-0.20394355,-0.03858058,chain_0
-0.16943054,-0.04106704,chain_0
-0.20254913,-0.0375195,chain_0
-0.19756962,-0.03573114,chain_0
-0.21298376,-0.029844234,chain_0
-0.20632428,-0.035501897,chain_0
-0.1903607,-0.023683181,chain_0
-0.1848531,-0.043599594,chain_0
-0.19351386,-0.025300963,chain_0
-0.17767328,-0.04149509,chain_0
-0.18330927,-0.037982374,chain_0
-0.19185804,-0.04068881,chain_0
-0.21000268,-0.03788777,chain_0
-0.20547794,-0.029876178,chain_0
-0.18394795,-0.03956834,chain_0
-0.20161489,-0.036443185,chain_0
-0.20800541,-0.03344173,chain_0
-0.19791357,-0.03485097,chain_0
-0.19332074,-0.04489684,chain_0
-0.17760108,-0.030475257,chain_0
-0.20070976,-0.04273513,chain_0
-0.18170501,-0.03986063,chain_0
-0.19982445,-0.038080804,chain_0
-0.19176601,-0.043722738,chain_0
-0.19457458,-0.030328806,chain_0
-0.19122793,-0.034298763,chain_0
-0.1859329,-0.037783306,chain_0
-0.1855044,-0.038586672,chain_0
-0.20171744,-0.042366445,chain_0
-0.20323145,-0.03881918,chain_0
-0.20323145,-0.03881918,chain_0
-0.19182551,-0.031673305,chain_0
-0.17864977,-0.044082884,chain_0
-0.18976998,-0.030589893,chain_0
-0.20304365,-0.026659738,chain_0
-0.20304365,-0.026659738,chain_0
-0.2173017,-0.043321893,chain_0
-0.21946688,-0.03314335,chain_0
-0.19482583,-0.031826023,chain_0
-0.19482583,-0.031826023,chain_0
-0.19574577,-0.03821967,chain_0
-0.1827197,-0.031395704,chain_0
-0.1974552,-0.03457431,chain_0
-0.1974708,-0.037111428,chain_0
-0.18952706,-0.035931364,chain_0
-0.17321652,-0.036073927,chain_0
-0.16966364,-0.03425256,chain_0
-0.20122841,-0.033261117,chain_0
-0.20456319,-0.030475587,chain_0
-0.20766078,-0.032481357,chain_0
-0.20519616,-0.0332362,chain_0
-0.20790121,-0.03799694,chain_0
-0.18396139,-0.034412794,chain_0
-0.21493809,-0.036662642,chain_0
-0.21420455,-0.027452234,chain_0
-0.20566879,-0.03495601,chain_0
-0.1956159,-0.036355898,chain_0
-0.19113313,-0.033471227,chain_0
-0.20680915,-0.030530235,chain_0
-0.1980443,-0.039114103,chain_0
-0.21020657,-0.024642713,chain_0
-0.21067107,-0.026221117,chain_0
-0.18696992,-0.03825249,chain_0
-0.18901111,-0.038517106,chain_0
-0.19018698,-0.02911191,chain_0
-0.19041866,-0.030568587,chain_0
-0.19864479,-0.034650832,chain_0
-0.18772288,-0.040102337,chain_0
-0.19639102,-0.03140868,chain_0
-0.19397102,-0.035862383,chain_0
-0.18931247,-0.03641951,chain_0
-0.19539161,-0.032604657,chain_0
-0.19778717,-0.030412896,chain_0
-0.20333306,-0.03860319,chain_0
-0.19129972,-0.042066075,chain_0
-0.18894067,-0.040614724,chain_0
-0.17368604,-0.04350514,chain_0
-0.19096515,-0.03545908,chain_0
-0.18805729,-0.03127609,chain_0
-0.20566338,-0.038038302,chain_0
-0.17209159,-0.036202334,chain_0
-0.17851493,-0.04439988,chain_0
-0.18242389,-0.043699417,chain_0
-0.18780145,-0.029615048,chain_0
-0.1888568,-0.03768143,chain_0
-0.20428057,-0.028828165,chain_0
-0.20468876,-0.02663535,chain_0
-0.18700665,-0.04397637,chain_0
-0.19615743,-0.049914673,chain_0
-0.19163471,-0.034933325,chain_0
-0.17301187,-0.043012626,chain_0
-0.18545875,-0.02629966,chain_0
-0.18123813,-0.044385936,chain_0
-0.1828536,-0.03125383,chain_0
-0.22106577,-0.03988639,chain_0
-0.21959893,-0.03690985,chain_0
-0.21320756,-0.028924849,chain_0
-0.21103323,-0.029981937,chain_0
-0.19197725,-0.035213917,chain_0
-0.19174416,-0.037059817,chain_0
-0.1914423,-0.035510708,chain_0
-0.1879412,-0.030437153,chain_0
-0.18033832,-0.045909088,chain_0
-0.19342849,-0.03332763,chain_0
-0.2225663,-0.030698255,chain_0
-0.20936304,-0.031137673,chain_0
-0.20999998,-0.03399192,chain_0
-0.19728577,-0.043674655,chain_0
-0.19537477,-0.03180542,chain_0
-0.1946822,-0.041448865,chain_0
-0.21818304,-0.024507858,chain_0
-0.21604586,-0.024278574,chain_0
-0.20582244,-0.040537238,chain_0
-0.20363227,-0.039054014,chain_0
-0.19130349,-0.03183523,chain_0
-0.20289631,-0.036881976,chain_0
-0.18825859,-0.034446478,chain_0
-0.19169705,-0.038290422,chain_0
-0.1937295,-0.041690852,chain_0
-0.20222396,-0.034605246,chain_0
-0.18915628,-0.037244447,chain_0
-0.19324078,-0.033848736,chain_0
-0.19554344,-0.03511995,chain_0
-0.19463748,-0.03888713,chain_0
-0.18725531,-0.032529347,chain_0
-0.18585739,-0.042556133,chain_0
-0.19235303,-0.030140355,chain_0
-0.19529407,-0.030777942,chain_0
-0.21630996,-0.035199925,chain_0
-0.21630996,-0.035199925,chain_0
-0.19255792,-0.036348384,chain_0
-0.20641583,-0.029104449,chain_0
-0.20907146,-0.027313627,chain_0
-0.210648,-0.035302762,chain_0
-0.18328048,-0.034274355,chain_0
-0.2196918,-0.03276445,chain_0
-0.20973659,-0.028678603,chain_0
-0.20973659,-0.028678603,chain_0
-0.20655107,-0.04163011,chain_0
-0.1773215,-0.02624433,chain_0
-0.18187192,-0.031046245,chain_0
-0.18923776,-0.04264116,chain_0
-0.1854785,-0.040679313,chain_0
-0.19961664,-0.030488174,chain_0
-0.19070308,-0.03804801,chain_0
-0.197647,-0.035098057,chain_0
-0.19359875,-0.035232898,chain_0
-0.18123038,-0.03614345,chain_0
-0.1918823,-0.03731516,chain_0
-0.20551042,-0.028361192,chain_0
-0.18655501,-0.04169827,chain_0
-0.17809503,-0.0354751,chain_0
-0.19079149,-0.033997387,chain_0
-0.19482648,-0.037250593,chain_0
-0.18983606,-0.029980801,chain_0
-0.20242152,-0.03577634,chain_0
-0.165014,-0.042835128,chain_0
-0.19022858,-0.03511627,chain_0
-0.16977304,-0.05036649,chain_0
-0.16179277,-0.035410225,chain_0
-0.16179277,-0.035410225,chain_0
-0.1745596,-0.04359991,chain_0
-0.17449762,-0.042511325,chain_0
-0.18580596,-0.040784903,chain_0
-0.18554203,-0.04403899,chain_0
-0.18834288,-0.03600809,chain_0
-0.18871872,-0.041143492,chain_0
-0.18156122,-0.032769524,chain_0
-0.17818114,-0.04534152,chain_0
-0.19886284,-0.045062818,chain_0
-0.20232904,-0.027243204,chain_0
-0.2035345,-0.044256862,chain_0
-0.20719428,-0.035358507,chain_0
-0.20793448,-0.036323007,chain_0
-0.22212468,-0.03321068,chain_0
-0.20449631,-0.034655105,chain_0
-0.21202847,-0.028201945,chain_0
-0.1976247,-0.025543727,chain_0
-0.18991296,-0.038063582,chain_0
-0.20203668,-0.02740507,chain_0
-0.2053532,-0.040535234,chain_0
-0.19147147,-0.030168785,chain_0
-0.2089482,-0.033616703,chain_0
-0.21213375,-0.030508706,chain_0
-0.21274433,-0.030088197,chain_0
-0.214834,-0.036235295,chain_0
-0.20173833,-0.03636851,chain_0
-0.19598868,-0.038298365,chain_0
-0.20020385,-0.035630852,chain_0
-0.19810085,-0.036423277,chain_0
-0.2150549,-0.030872013,chain_0
-0.20106812,-0.03171165,chain_0
-0.195924,-0.032409396,chain_0
-0.17364424,-0.04302896,chain_0
-0.19905937,-0.027835287,chain_0
-0.1715122,-0.04484119,chain_0
-0.20447928,-0.029607397,chain_0
-0.18741667,-0.041728515,chain_0
-0.19368842,-0.03080405,chain_0
-0.20282383,-0.03888593,chain_0
-0.18696162,-0.030546907,chain_0
-0.21770804,-0.04108181,chain_0
-0.21013713,-0.029334692,chain_0
-0.19451903,-0.034806207,chain_0
-0.17177743,-0.036300894,chain_0
-0.19060656,-0.039428625,chain_0
-0.17998175,-0.03748852,chain_0
-0.20735843,-0.03247568,chain_0
-0.19905075,-0.028752688,chain_0
-0.20479989,-0.038325064,chain_0
-0.22649007,-0.028496237,chain_0
-0.21008298,-0.033154465,chain_0
-0.1931891,-0.03366552,chain_0
-0.20661837,-0.037001453,chain_0
-0.2088285,-0.02666181,chain_0
-0.2088285,-0.02666181,chain_0
-0.18450283,-0.041618116,chain_0
-0.1804336,-0.04574668,chain_0
-0.20836665,-0.031152768,chain_0
-0.2028199,-0.031702954,chain_0
-0.18904462,-0.04874334,chain_0
-0.19250545,-0.047320936,chain_0
-0.1966605,-0.04818053,chain_0
-0.20636547,-0.035793804,chain_0
-0.19637546,-0.02954123,chain_0
-0.1921853,-0.04081502,chain_0
-0.18775338,-0.051203266,chain_0
-0.1807798,-0.040130667,chain_0
-0.20132954,-0.031026158,chain_0
-0.18552995,-0.04066275,chain_0
-0.19909593,-0.038668655,chain_0
-0.19913864,-0.036254324,chain_0
-0.18517749,-0.0353505,chain_0
-0.19523726,-0.033108916,chain_0
-0.19693203,-0.03717715,chain_0
-0.19433874,-0.04552909,chain_0
-0.18882889,-0.044919923,chain_0
-0.175298,-0.039420508,chain_0
-0.20663333,-0.03636816,chain_0
-0.2096561,-0.03864956,chain_0
-0.1931971,-0.039858393,chain_0
-0.18053886,-0.03715363,chain_0
-0.19030382,-0.037358705,chain_0
-0.20076434,-0.031895965,chain_0
-0.18957078,-0.041791007,chain_0
-0.18796897,-0.035737596,chain_0
-0.18002234,-0.03993529,chain_0
-0.17832403,-0.040737946,chain_0
-0.18122481,-0.03732465,chain_0
-0.1885456,-0.04149694,chain_0
-0.19755684,-0.035451196,chain_0
-0.18305719,-0.033267293,chain_0
-0.18669383,-0.04558584,chain_0
-0.18189615,-0.031996723,chain_0
-0.17465617,-0.04222,chain_0
-0.20638025,-0.03466093,chain_0
-0.20193136,-0.038906112,chain_0
-0.19459008,-0.034849495,chain_0
-0.21833897,-0.028378578,chain_0
-0.22420204,-0.035550367,chain_0
-0.18520577,-0.033579245,chain_0
-0.18447669,-0.030727984,chain_0
-0.18023987,-0.014367975,chain_0
-0.17923266,-0.03684225,chain_0
-0.22212908,-0.045212243,chain_0
-0.21898916,-0.04136776,chain_0
-0.17631826,-0.031916954,chain_0
-0.16809256,-0.05048591,chain_0
-0.1770564,-0.042748466,chain_0
-0.17148873,-0.037484527,chain_0
-0.17791402,-0.03489608,chain_0
-0.20943931,-0.033682548,chain_0
-0.2110987,-0.03846673,chain_0
-0.2083041,-0.036258634,chain_0
-0.2083041,-0.036258634,chain_0
-0.19857156,-0.032920323,chain_0
-0.18252479,-0.04077071,chain_0
-0.18927982,-0.03334508,chain_0
-0.20352983,-0.03986423,chain_0
-0.17499478,-0.02937117,chain_0
-0.17192554,-0.04371025,chain_0
-0.17891502,-0.044876482,chain_0
-0.19332682,-0.04068405,chain_0
-0.19450015,-0.042199504,chain_0
-0.19303536,-0.03283099,chain_0
-0.2056438,-0.036037587,chain_0
-0.20160398,-0.029900212,chain_0
-0.19174454,-0.032015067,chain_0
-0.18611345,-0.040661454,chain_0
-0.18865524,-0.03291965,chain_0
-0.2046923,-0.031518504,chain_0
-0.20919031,-0.034377888,chain_0
-0.20062242,-0.037055854,chain_0
-0.20344011,-0.02908456,chain_0
-0.207265,-0.027259719,chain_0
-0.18389277,-0.04575899,chain_0
-0.20138504,-0.041085865,chain_0
-0.21558054,-0.030284408,chain_0
-0.21249028,-0.03276774,chain_0
-0.17936485,-0.037521828,chain_0
-0.20681754,-0.03647217,chain_0
-0.20485047,-0.034994557,chain_0
-0.1982098,-0.03993009,chain_0
-0.19982368,-0.03456479,chain_0
-0.17933585,-0.03705034,chain_0
-0.18959936,-0.034255296,chain_0
-0.18425259,-0.036784552,chain_0
-0.18732232,-0.035122145,chain_0
-0.19256064,-0.035924476,chain_0
-0.20701739,-0.028875373,chain_0
-0.20701739,-0.028875373,chain_0
-0.19931103,-0.042001903,chain_0
-0.19241758,-0.02996526,chain_0
-0.2051947,-0.04623489,chain_0
-0.19921477,-0.029196123,chain_0
-0.20030136,-0.0346849,chain_0
-0.2006352,-0.037580296,chain_0
-0.18562067,-0.0419412,chain_0
-0.19482376,-0.039867066,chain_0
-0.1773112,-0.035281856,chain_0
-0.17579277,-0.034524634,chain_0
-0.19906075,-0.03929072,chain_0
-0.19113483,-0.038043816,chain_0
-0.1855927,-0.035023324,chain_0
-0.18460949,-0.03671178,chain_0
-0.21812236,-0.030384354,chain_0
-0.21340595,-0.036076754,chain_0
-0.21857285,-0.034556217,chain_0
-0.20249487,-0.036410663,chain_0
-0.19155309,-0.04264977,chain_0
-0.1707266,-0.038446203,chain_0
-0.19560845,-0.028775487,chain_0
-0.17541155,-0.04299222,chain_0
-0.19615516,-0.02816836,chain_0
-0.2095862,-0.035147578,chain_0
-0.20767093,-0.035099804,chain_0
-0.19453168,-0.04286138,chain_0
-0.17683865,-0.032724664,chain_0
-0.17623721,-0.041636903,chain_0
-0.20242345,-0.032472834,chain_0
-0.20139451,-0.031092154,chain_0
-0.18607615,-0.038425677,chain_0
-0.18187378,-0.029175421,chain_0
-0.17853697,-0.034507286,chain_0
-0.19496958,-0.03433536,chain_0
-0.2034431,-0.039852176,chain_0
-0.19514939,-0.026647305,chain_0
-0.19514939,-0.026647305,chain_0
-0.20772994,-0.027552025,chain_0
-0.18181325,-0.044710636,chain_0
-0.18277869,-0.030801361,chain_0
-0.19545946,-0.04370466,chain_0
-0.1984159,-0.03739155,chain_0
-0.19775665,-0.02701086,chain_0
-0.18708026,-0.03078559,chain_0
-0.20216605,-0.038822524,chain_0
-0.21587677,-0.0332726,chain_0
-0.21914993,-0.033721015,chain_0
-0.19194107,-0.029144164,chain_0
-0.1999016,-0.03659527,chain_0
-0.19084413,-0.030403571,chain_0
-0.19084413,-0.030403571,chain_0
-0.19574372,-0.031533476,chain_0
-0.19677347,-0.02613493,chain_0
-0.18062663,-0.047956225,chain_0
-0.18855898,-0.030541666,chain_0
-0.2018002,-0.03887871,chain_0
-0.19737278,-0.031898286,chain_0
-0.19982955,-0.035930037,chain_0
-0.19982955,-0.035930037,chain_0
-0.20655419,-0.03864813,chain_0
-0.2122111,-0.023792323,chain_0
-0.20162585,-0.038883194,chain_0
-0.190409,-0.04129966,chain_0
-0.16667822,-0.03773887,chain_0
-0.16881266,-0.036364015,chain_0
-0.16644903,-0.037885122,chain_0
-0.1934899,-0.041998904,chain_0
-0.18209516,-0.039714675,chain_0
-0.18156955,-0.027015474,chain_0
-0.19759372,-0.049056284,chain_0
-0.197945,-0.049184993,chain_0
-0.18543814,-0.030558128,chain_0
-0.18428776,-0.04483262,chain_0
-0.19943358,-0.036862478,chain_0
-0.18903396,-0.03135115,chain_0
-0.18705346,-0.022533618,chain_0
-0.2168862,-0.046289794,chain_0
-0.19223677,-0.05321328,chain_0
-0.18921907,-0.050228998,chain_0
-0.17502195,-0.027186096,chain_0
-0.18323939,-0.032819945,chain_0
-0.18323939,-0.032819945,chain_0
-0.1833199,-0.042133532,chain_0
-0.1760273,-0.035614938,chain_0
-0.20037821,-0.031311825,chain_0
-0.19049412,-0.039687652,chain_0
-0.19439237,-0.03658032,chain_0
-0.18989018,-0.03420179,chain_0
-0.19574727,-0.032446712,chain_0
-0.19053264,-0.032633804,chain_0
-0.20629948,-0.03527582,chain_0
-0.18531607,-0.0357738,chain_0
-0.19387272,-0.029195637,chain_0
-0.19387272,-0.029195637,chain_0
-0.19387272,-0.029195637,chain_0
-0.18677728,-0.04940718,chain_0
-0.19731754,-0.040238045,chain_0
-0.1894684,-0.04361884,chain_0
-0.1881494,-0.038377278,chain_0
-0.17935245,-0.03781539,chain_0
-0.1811036,-0.036091264,chain_0
-0.19746007,-0.03249766,chain_0
-0.18401936,-0.030495105,chain_0
-0.19755167,-0.041687217,chain_0
-0.19660074,-0.042472247,chain_0
-0.18325919,-0.029425403,chain_0
-0.1972377,-0.04703331,chain_0
-0.1903829,-0.033858214,chain_0
-0.20086236,-0.029221866,chain_0
-0.20611411,-0.03233601,chain_0
-0.18459493,-0.03718669,chain_0
-0.1903239,-0.032798324,chain_0
-0.18391208,-0.035492007,chain_0
-0.21484084,-0.03350792,chain_0
-0.18725371,-0.03424397,chain_0
-0.179588,-0.04055404,chain_0
-0.18538654,-0.04122683,chain_0
-0.193406,-0.032693863,chain_0
-0.19680165,-0.03446932,chain_0
-0.18888032,-0.032497127,chain_0
-0.18835871,-0.03790004,chain_0
-0.18286242,-0.02956908,chain_0
-0.17762065,-0.03899154,chain_0
-0.1922678,-0.036537748,chain_0
-0.18417001,-0.031974696,chain_0
-0.17660302,-0.039581317,chain_0
-0.20377232,-0.031690978,chain_0
-0.2166139,-0.034240883,chain_0
-0.20846638,-0.034535177,chain_0
-0.18623123,-0.04694161,chain_0
-0.18883555,-0.051313326,chain_0
-0.18511578,-0.03244944,chain_0
-0.1872486,-0.038594026,chain_0
-0.19090173,-0.033282485,chain_0
-0.18547255,-0.037400804,chain_0
-0.19230288,-0.04364935,chain_0
-0.18383087,-0.041044287,chain_0
-0.17837942,-0.03559023,chain_0
-0.18560459,-0.041746173,chain_0
-0.18383497,-0.037333295,chain_0
-0.17938642,-0.043033615,chain_0
-0.1920508,-0.0398368,chain_0
-0.20248793,-0.036242377,chain_0
-0.2101459,-0.03459705,chain_0
-0.21700095,-0.03484862,chain_0
-0.20733522,-0.034922972,chain_0
-0.1875011,-0.03532072,chain_0
-0.18948595,-0.03431923,chain_0
-0.21787457,-0.03173657,chain_0
-0.18217064,-0.03563091,chain_0
-0.179003,-0.04329075,chain_0
-0.17980972,-0.027750734,chain_0
-0.18142593,-0.030762944,chain_0
-0.20085654,-0.038417056,chain_0
-0.18795067,-0.031201849,chain_0
-0.18085127,-0.03684093,chain_0
-0.1978371,-0.03751145,chain_0
-0.19469005,-0.033322547,chain_0
-0.19469005,-0.033322547,chain_0
-0.21675453,-0.03217607,chain_0
-0.2120895,-0.033056002,chain_0
-0.19898604,-0.033392124,chain_0
-0.1947896,-0.035172563,chain_0
-0.19308074,-0.0331981,chain_0
-0.190518,-0.03431471,chain_0
-0.1711738,-0.04073849,chain_0
-0.20385829,-0.03202254,chain_0
-0.20550822,-0.0356571,chain_0
-0.18731084,-0.028796554,chain_0
-0.18816161,-0.035431843,chain_0
-0.1964745,-0.03955318,chain_0
-0.21448785,-0.024414135,chain_0
-0.21837766,-0.042074304,chain_0
-0.2155396,-0.032462142,chain_0
-0.19711635,-0.03619555,chain_0
-0.18239519,-0.03178201,chain_0
-0.16554698,-0.04139163,chain_0
-0.19689679,-0.034739804,chain_0
-0.19797479,-0.038382728,chain_0
-0.22494197,-0.03041549,chain_0
-0.21698035,-0.032359954,chain_0
-0.21093637,-0.033390574,chain_0
-0.2011475,-0.030917244,chain_0
-0.2011475,-0.030917244,chain_0
-0.19962661,-0.03557626,chain_0
-0.17146684,-0.03812513,chain_0
-0.1878654,-0.03257012,chain_0
-0.20522244,-0.038393393,chain_0
-0.20320362,-0.0329799,chain_0
-0.19835423,-0.03409635,chain_0
-0.18627626,-0.036530003,chain_0
-0.18627626,-0.036530003,chain_0
-0.1950765,-0.036640953,chain_0
-0.2108354,-0.02966911,chain_0
-0.16198666,-0.039962023,chain_0
-0.18308139,-0.038896587,chain_0
-0.16251352,-0.049624834,chain_0
-0.19836488,-0.03756617,chain_0
-0.1781806,-0.038071208,chain_0
-0.19218576,-0.031498265,chain_0
-0.19109273,-0.039435145,chain_0
-0.17338833,-0.0357642,chain_0
-0.18393858,-0.038977616,chain_0
-0.18255804,-0.03935612,chain_0
-0.20626174,-0.031922393,chain_0
-0.17617437,-0.035970584,chain_0
-0.20685008,-0.035830405,chain_0
-0.20012124,-0.030347986,chain_0
-0.19138542,-0.0404092,chain_0
-0.18024519,-0.03952461,chain_0
-0.1860089,-0.03561686,chain_0
